,Time,ElectricPower,Degree
0,0.016,0.18395550000000002,35.098
1,0.04666666666666666,0.18394950000000002,35.098
2,0.076,0.18394649999999999,35.098
3,0.10666666666666667,0.18395550000000002,35.099
4,0.13733333333333334,0.18394649999999999,35.1
5,0.16666666666666666,0.18397033333333335,35.097
6,0.19733333333333333,0.18395250000000002,35.098
7,0.228,0.18393466666666666,35.097
8,0.2573333333333333,0.18391683333333333,35.099
9,0.28800000000000003,0.18390800000000002,35.099
10,0.3186666666666667,0.18388716666666666,35.098
11,0.348,0.18391683333333333,35.099
12,0.37733333333333335,0.18390199999999998,35.099
13,0.4093333333333333,0.183905,35.098
14,0.44,0.18387833333333334,35.099
15,0.4706666666666666,0.18387233333333333,35.099
16,0.5013333333333333,0.18390199999999998,35.099
17,0.532,0.18389016666666666,35.098
18,0.5626666666666666,0.1838605,35.099
19,0.5920000000000001,0.18386633333333335,35.098
20,0.624,0.18386633333333335,35.098
21,0.6533333333333334,0.18385449999999998,35.098
22,0.6853333333333332,0.18381,35.098
23,0.7186666666666667,0.183816,35.098
24,0.7493333333333333,0.183816,35.098
25,0.7799999999999999,0.18379216666666667,35.099
26,0.8106666666666666,0.18383666666666668,35.099
27,0.8413333333333333,0.18385449999999998,35.097
28,0.8733333333333333,0.18387533333333334,35.098
29,0.904,0.18384866666666666,35.099
30,0.9346666666666666,0.183807,35.097
31,0.9640000000000001,0.18379816666666665,35.099
32,0.9933333333333334,0.1837655,35.098
33,1.0266666666666666,0.18355766666666667,35.099
34,1.0573333333333332,0.18311833333333333,35.099
35,1.0893333333333333,0.18315983333333333,35.098
36,1.12,0.18349833333333335,35.098
37,1.1506666666666667,0.18384566666666666,35.099
38,1.1813333333333333,0.18420483333333332,35.098
39,1.2106666666666668,0.18463233333333334,35.097
40,1.2426666666666668,0.18482516666666668,35.098
41,1.2719999999999998,0.18491733333333332,35.098
42,1.3026666666666666,0.18494400000000003,35.099
43,1.3333333333333333,0.184941,35.098
44,1.364,0.18496183333333333,35.098
45,1.3946666666666667,0.18492616666666667,35.097
46,1.424,0.18484899999999999,35.098
47,1.4546666666666668,0.18478366666666668,35.097
48,1.4853333333333334,0.1847065,35.098
49,1.5146666666666666,0.1846085,35.098
50,1.5466666666666666,0.184475,35.099
51,1.5773333333333333,0.1843948333333333,35.097
52,1.608,0.18429683333333333,35.098
53,1.6400000000000001,0.18419883333333334,35.097
54,1.6706666666666665,0.18414550000000002,35.097
55,1.7026666666666666,0.18407716666666665,35.097
56,1.732,0.18401783333333332,35.098
57,1.764,0.18396133333333334,35.099
58,1.7946666666666669,0.18389899999999998,35.098
59,1.8253333333333333,0.18383383333333334,35.098
60,1.8573333333333333,0.18378333333333333,35.098
61,1.8880000000000001,0.1837625,35.097
62,1.9173333333333333,0.18368533333333334,35.098
63,1.948,0.183629,35.098
64,1.9786666666666666,0.18359333333333333,35.098
65,2.009333333333333,0.183531,35.097
66,2.04,0.18351016666666667,35.097
67,2.0706666666666664,0.18345683333333335,35.098
68,2.1013333333333333,0.18340333333333333,35.098
69,2.130666666666667,0.1833795,35.097
70,2.1626666666666665,0.18339733333333333,35.098
71,2.192,0.1833885,35.098
72,2.222666666666667,0.18336766666666668,35.097
73,2.2546666666666666,0.183332,35.097
74,2.2853333333333334,0.18331433333333333,35.098
75,2.3160000000000003,0.18326083333333332,35.097
76,2.3453333333333335,0.18323116666666667,35.098
77,2.376,0.18321333333333334,35.097
78,2.4066666666666667,0.1831925,35.098
79,2.436,0.18318666666666666,35.098
80,2.4680000000000004,0.18318066666666669,35.097
81,2.4986666666666664,0.183151,35.097
82,2.528,0.18312733333333334,35.096
83,2.558666666666667,0.18312433333333333,35.097
84,2.5893333333333337,0.18312733333333334,35.097
85,2.6199999999999997,0.1831065,35.097
86,2.6493333333333333,0.18307083333333332,35.095
87,2.6813333333333333,0.18302333333333334,35.097
88,2.712,0.1830145,35.097
89,2.741333333333333,0.18304416666666665,35.097
90,2.7733333333333334,0.18297883333333334,35.097
91,2.8026666666666666,0.18295516666666664,35.097
92,2.832,0.18294316666666666,35.098
93,2.8626666666666667,0.18293433333333334,35.098
94,2.893333333333333,0.18292533333333333,35.098
95,2.9253333333333336,0.1829195,35.097
96,2.9560000000000004,0.1829165,35.098
97,2.9866666666666664,0.18293733333333334,35.096
98,3.018666666666667,0.18295216666666667,35.097
99,3.0493333333333337,0.18290749999999997,35.097
100,3.0813333333333333,0.1829195,35.097
101,3.112,0.18293433333333334,35.097
102,3.1413333333333333,0.18292250000000002,35.097
103,3.1719999999999997,0.1829195,35.096
104,3.2026666666666666,0.18292833333333333,35.096
105,3.2319999999999998,0.1829165,35.097
106,3.2640000000000002,0.182869,35.099
107,3.2946666666666666,0.18284816666666667,35.097
108,3.3266666666666667,0.18280066666666667,35.097
109,3.3560000000000003,0.18276799999999999,35.097
110,3.388,0.18274433333333334,35.096
111,3.4186666666666667,0.18276216666666667,35.097
112,3.4493333333333336,0.18275033333333335,35.097
113,3.48,0.18269683333333334,35.097
114,3.5106666666666664,0.18270866666666666,35.097
115,3.541333333333333,0.18269383333333333,35.097
116,3.572,0.18268800000000002,35.095
117,3.6026666666666665,0.18269383333333333,35.097
118,3.6319999999999997,0.18267016666666666,35.097
119,3.6626666666666665,0.18267599999999998,35.098
120,3.694666666666667,0.18266116666666665,35.097
121,3.7253333333333334,0.18266116666666665,35.096
122,3.7560000000000002,0.18264633333333335,35.097
123,3.788,0.18264633333333335,35.096
124,3.82,0.18261666666666668,35.097
125,3.8493333333333335,0.18257516666666668,35.096
