DH	INVJ	Xt	Mt	XMt	NDH
1.73226335164	4.008375	0.0	0.02	0.658563675326	98.4421414155
0.570942698139	4.008375	0.0131318740748	0.0199401736944	1.31910620129	32.4458875016
0.5652898177	4.008375	0.0262245252382	0.0198805260809	1.98163651037	32.1246420887
0.532829324342	4.008375	0.0392781289572	0.0198210563601	2.6461635889	30.2799569405
0.423464031954	4.008375	0.0522928596542	0.0197617637373	3.31269647747	24.0648779405
0.399388511425	4.008375	0.0652688907141	0.0197026474227	3.98124427131	22.6966992543
0.39398217692	4.008375	0.0782063944921	0.019643706631	4.65181612074	22.3894647075
0.418943872871	4.008375	0.0911055423216	0.0195849405817	5.32442123155	23.8080035229
0.356569765914	4.008375	0.103966504521	0.0195263484988	5.99906886546	20.2633688967
0.44533190299	4.008375	0.116789450404	0.0194679296109	6.67576834052	25.3075989454
0.404525104407	4.008375	0.129574548281	0.0194096831513	7.35452903153	22.9886047618
0.364390205797	4.008375	0.142321965474	0.0193516083578	8.03536037052	20.7077937287
0.305094908506	4.008375	0.155031868318	0.0192937044724	8.71827184712	17.3381236172
0.469844557728	4.008375	0.16770442217	0.0192359707418	9.40327300907	26.7006193668
0.538581344785	4.008375	0.18033979142	0.0191784064172	10.0903734626	30.6068363433
0.689334845219	4.008375	0.192938139491	0.019121010754	10.7795828729	39.1739502262
0.53337633959	4.008375	0.20549962885	0.0190637830121	11.4709109647	30.3110430639
0.549349496263	4.008375	0.218024421018	0.0190067224555	12.1643675224	31.2187755669
0.355386925047	4.008375	0.23051267657	0.0189498283528	12.859962391	20.1961496787
0.306327190647	4.008375	0.242964555147	0.0188930999766	13.557705476	17.4081525148
0.417446306148	4.008375	0.255380215462	0.0188365366038	14.2576067444	23.7228988677
-0.835459112234	4.008375	0.267759815305	0.0187801375157	14.959676225	-47.477991147
0.0867135564948	4.008375	0.280103511551	0.0187239019975	15.6639240087	4.92781203448
0.455868842583	4.008375	0.292411460167	0.0186678293386	16.370360249	25.9063987159
0.395450456394	4.008375	0.304683816217	0.0186119188327	17.0789951629	22.4729050086
	--	0.316920733869	0.0185561697774	--
