,Time,ElectricPower,Degree
0,61.029333333333334,0.0,35.071
1,61.05733333333333,-0.0002641666666666487,35.07
2,61.088,-0.0004184999999999883,35.071
3,61.11866666666666,-0.0004898333333333005,35.07
4,61.14933333333333,-0.0004926666666666413,35.071
5,61.178666666666665,-0.00044233333333332236,35.07
6,61.20933333333333,-0.00019883333333331477,35.07
7,61.24,4.166666666666208e-05,35.069
8,61.27066666666666,0.0001693333333333269,35.07
9,61.30133333333333,0.0002495000000000136,35.07
10,61.332,0.00033250000000001334,35.069
11,61.36266666666667,0.0004245000000000221,35.07
12,61.39333333333333,0.0004720000000000002,35.069
13,61.42266666666667,0.0005255000000000121,35.069
14,61.45466666666667,0.0005641666666666711,35.069
15,61.48533333333333,0.0005908333333333182,35.07
16,61.516,0.000593833333333349,35.07
17,61.54666666666667,0.0005611666666666681,35.069
18,61.57866666666666,0.0005225000000000091,35.069
19,61.60933333333333,0.0004840000000000122,35.069
20,61.64,0.00038599999999999746,35.069
21,61.669333333333334,0.0003473333333333384,35.069
22,61.7,0.0003681666666666972,35.069
23,61.73066666666667,0.00034150000000002234,35.069
24,61.76133333333333,0.00029100000000001347,35.069
25,61.792,0.00028500000000000747,35.069
26,61.82266666666667,0.00026416666666667643,35.069
27,61.85333333333333,0.0002256666666666518,35.069
28,61.882666666666665,0.0001811666666666767,35.068
29,61.913333333333334,0.00011883333333334578,35.068
30,61.943999999999996,8.916666666666795e-05,35.07
31,61.974666666666664,4.7500000000033626e-05,35.07
32,62.00533333333333,3.566666666668383e-05,35.07
33,62.035999999999994,9.000000000009e-06,35.07
34,62.068,-6.233333333333091e-05,35.069
35,62.09866666666667,-5.033333333331891e-05,35.069
36,62.129333333333335,-7.416666666665295e-05,35.069
37,62.16,-0.00010083333333332778,35.068
38,62.190666666666665,-0.00010983333333333678,35.069
39,62.22266666666667,-0.00015133333333333665,35.069
40,62.25466666666667,-0.0001631666666666587,35.069
41,62.285333333333334,-0.0001543333333333119,35.068
42,62.316,-0.00019883333333331477,35.069
43,62.34666666666667,-0.00019883333333331477,35.07
44,62.37733333333333,-0.00018999999999999573,35.068
45,62.408,-0.00019283333333333652,35.069
46,62.43866666666667,-0.0002284999999999926,35.069
47,62.46933333333333,-0.00024633333333332064,35.069
48,62.5,-0.0002611666666666457,35.069
49,62.53066666666667,-0.0002671666666666517,35.07
50,62.56133333333333,-0.00028200000000000447,35.069
51,62.592,-0.0002908333333333235,35.069
52,62.62133333333334,-0.00029983333333330475,35.069
53,62.652,-0.00031749999999999834,35.07
54,62.684,-0.00032050000000000134,35.069
55,62.714666666666666,-0.0003413333333333324,35.069
56,62.744,-0.0003650000000000042,35.069
57,62.77733333333333,-0.0003710000000000102,35.069
58,62.808,-0.00035916666666663266,35.069
59,62.837333333333326,-0.0003621666666666634,35.07
60,62.868,-0.00040366666666663553,35.069
61,62.89866666666667,-0.0004154999999999853,35.069
62,62.92933333333334,-0.0004184999999999883,35.068
63,62.96133333333333,-0.0004720000000000002,35.069
64,62.992,-0.0004898333333333005,35.068
65,63.024,-0.0004898333333333005,35.069
66,63.05333333333333,-0.0004629999999999912,35.069
67,63.083999999999996,-0.0004720000000000002,35.067
68,63.11466666666667,-0.0004599999999999882,35.068
69,63.144,-0.0004898333333333005,35.067
70,63.176,-0.000495666666666672,35.069
71,63.20666666666667,-0.0005046666666666533,35.069
72,63.236,-0.0005371666666666441,35.069
73,63.268,-0.0005223333333333191,35.068
74,63.297333333333334,-0.0005135000000000001,35.069
75,63.327999999999996,-0.0005401666666666749,35.068
76,63.358666666666664,-0.0005313333333333281,35.068
77,63.38933333333333,-0.0005431666666666779,35.069
78,63.419999999999995,-0.0005491666666666561,35.069
79,63.45066666666666,-0.0005609999999999782,35.069
80,63.48266666666667,-0.000572833333333328,35.069
81,63.513333333333335,-0.0006025000000000058,35.069
82,63.544,-0.000596666666666662,35.069
83,63.574666666666666,-0.000590666666666656,35.069
84,63.605333333333334,-0.0006233333333333091,35.067
85,63.635999999999996,-0.00061449999999999,35.068
86,63.669333333333334,-0.00061449999999999,35.069
87,63.69866666666667,-0.0006499999999999839,35.068
88,63.72933333333334,-0.0006351666666666589,35.069
89,63.75866666666666,-0.0006321666666666559,35.067
90,63.78933333333334,-0.0006619999999999959,35.07
91,63.82,-0.000664833333333309,35.068
92,63.85066666666667,-0.0006589999999999929,35.069
93,63.882666666666665,-0.0006796666666666618,35.068
94,63.912,-0.0006916666666666738,35.066
95,63.94266666666667,-0.0007034999999999958,35.067
96,63.973333333333336,-0.0006886666666666708,35.069
97,64.00399999999999,-0.0007034999999999958,35.068
98,64.03466666666667,-0.0007093333333333118,35.069
99,64.06666666666666,-0.0006974999999999898,35.069
100,64.096,-0.0007271666666666676,35.068
101,64.12666666666667,-0.0007509999999999739,35.069
102,64.15733333333334,-0.0007034999999999958,35.069
103,64.188,-0.0007301666666666706,35.068
104,64.21733333333333,-0.0007776666666666765,35.069
105,64.248,-0.0007954999999999768,35.068
106,64.27866666666667,-0.0007776666666666765,35.069
107,64.30933333333333,-0.0007954999999999768,35.069
